philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,22:15-22:30,0,0,0,0,43,,0,0,0,,36,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,22:30-22:45,0,0,0,0,50,,0,0,0,,30,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:2
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,22:45-23:00,0,0,0,0,42,,0,0,0,,25,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,16:00-16:15,0,0,0,0,46,,0,0,0,,46,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,16:15-16:30,0,0,0,0,35,,0,0,0,,40,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,16:30-16:45,0,0,0,0,36,,0,0,0,,43,0,0,0,0,0,,,,,,,Eastbound:Shuttles:1,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,16:45-17:00,0,0,0,0,46,,0,0,0,,55,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,17:00-17:15,0,0,0,0,38,,0,0,0,,45,0,0,0,0,0,,,,,,,Eastbound:Shuttles:1,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,17:15-17:30,0,0,0,0,44,,0,0,0,,36,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,DE AVE / Main Entrance to Casino,Cars - Taxis - Buses,5/31/2013,17:30-17:45,0,0,0,0,28,,0,0,0,,40,0,0,0,0,0,,,,,,,Eastbound:Shuttles:0,Westbound:Shuttles:0
